,Sentiment,Tweet
2368,positive, omg omg nonstop Dallas Austin virgin
2369,negative, Im disappointed flight Cancelled Flighted mostly I excited listen song Im Blue flying JetBlue
2370,negative, please see flight attendant what Why enough room head bags I carry save time
2371,negative, thanks  making impossibly expensive  change  flight leaving less  hrs earlier reservation 
2372,neutral, Carol Thrower passengers Fort Lauderdale airport
2373,negative, kind airlines guys run The people got line first received hotel vouchers Terrible customer service
2374,negative, bags leave Washington yet That would convenient seeing left day ago  
2375,negative, Just contaced EYEWITNESS NEWS ripoff Cancelled Flighted want pay
2376,positive, I wanna say incredible sending people see idols Sooooo kind amazing 
2377,neutral, amen
2378,neutral, JFK airport right
2379,negative, almost like were punished living near large metro area EWR top ranked domestic delays Not good
2380,positive, thank you
2381,negative, transferring trueblue points within family pooling members cost  This set contributiontopool already
2382,negative, early flt I think call appropriate Yes reviewed nada avail next day Expect full refund
2383,negative, I need answer cant get Wichita Falls
2384,negative,  min departure one waiting On pressed ground staffer threatened do want get SF today 
2385,negative, hang me Im starting think personal
2386,negative,  FLL LGA This getting old th  flight  weeks th significant delay
2387,negative, sitting runway Newark let plane gate My connection boards  minute  hates us all
2388,neutral, still planing flights Dal We trying fly tomorrow lax
2389,neutral, Got it I following United page
2390,negative, You guys totally losing me Ive AA fan years telling reps busy hanging really bad
2391,negative, policy tell customers We cant help you Im sorry unacceptable
2392,positive, do Thanks help Cheers
2393,negative, u Cancelled Flighted flight IAD JAX Was supposed use plane BNA u used plane another destination instead 
2394,negative,  wifi broken plane Had outage  Friday How Southwest get right every plane United cant
2395,positive, I fly   Never issues
2396,neutral, Yes iOS Im running iOS 
2397,negative, problem flight Gainesville US Airways  CLT miss connecting flight  IAD When I get another flight
2398,negative, yup happens way often times last  months
2399,neutral, dad booked orbitz due weather cant make airport Can help him
2400,negative, daughter booked gold member miles get upgrade list flight tomorrow
2401,neutral, followed DMd
2402,negative, No I  hrs early Send email share experience You want blasting here
2403,negative, true Gate agents  caused this And were helpful Thanks making miss connection 
2404,negative, Its honeymoonI paid extra business I sitting next bride bumped status Disgusted
2405,neutral, flying hawaii
2406,negative,Jet BOOOO RT  Our fleets fleek 
2407,positive, Aww cool Its nice know still head then One faves
2408,negative, I never choose  again 
2409,negative, sat plane  hours Dulles   
2410,negative, yr team hold hour unhelpful Pls answer question
2411,positive, I wanted say flight attendant fitz best tonight flight  bwiBos Great guy made flight fantastic
2412,negative,  Ive hold  mins Cancelled Flight reservation afternoon Is another way Web tells call
2413,neutral, yes Delta
2414,positive, releasing flights September Just found fly direct lbb las So excited 
2415,negative, stranded Philly  cant get meal voucher even though plane mechanical issue  next flight  hrs
2416,negative, They inquire nothing itpretend theyre interested Responded DM response back
2417,negative, heard vouchermiles credit Cancelled Flighting international flight yesterday I get email
2418,negative, I almost  million miles w u I loyal u When r u going reciprocate What joke
2419,negative, got stand list earlier flight DCA What status checked bag Was supposed  thanks
2420,negative, fact rule makes poor customer service I Cancelled Flightchange  penalty hoops
2421,neutral, Free TV watching Daytona   
2422,negative, driver service get employees work bad weather like hospitals etc  
2423,positive,  I love Southwest Payton Taylor
2424,positive, Luvin flights today Dont change And please add Paypal payment option
2425,neutral, posted flight schedule covering date range defcon 
2426,negative, Im still patiently waiting response complaint email Fri What normal response time
2427,positive, thank help quick response
2428,negative, instead yelled told call number pick due call volume
2429,neutral, Thanks telling go airport check agentwhats up 
2430,negative,  really All carriers staffed got triple looped one employees sight OKC
2431,negative,Is insulting   offer non required  voucher goodwill offeringAt least bag fly round trip
2432,positive, thanks listening Doesnt mean I appreciate you
2433,negative, Item not mine mysteriously ended checked bag   flight Missing black box 
2434,negative, flight Bhm delayed hrs Connect flgt left us clt motel
2435,negative, cant  capability spread salt runway
2436,positive, flight attendants really funny The sass giving life
2437,neutral, well mine sure anything write home about
2438,negative, I sent details customer care link sent almost month ago response
2439,negative, horrible cust service exp DIA today Wife waited  hrs plane bf flight  Cancelled Flightled Still waiting bags
2440,positive, Exicted flying yall soon 
2441,neutral, give stand seats ticketed passengers know connecting flight 
2442,negative, friends Boston stuck Denver Her name Jane  Please contact her
2443,neutral, I got email cust care issue I offering voucher How I claim that I emailed back got reply DM
2444,negative, already spoke someone several times matter one sympathetic fly us home early complimentary
2445,neutral, ok tx Will tell guy sitting next gate
2446,negative, got txt min sched dpt saying plane arrived  JFK Late Flightr txt w dpt gate change Then  dpt  flight
2447,neutral, Hey guys tail number assigned yet flight  tomorrow
2448,negative, plane  degrees burning up This completely illegal
2449,positive, This could beginning BLUEtiful relationship  
2450,negative, Next arrived Atlanta waited full HOUR luggage placed carousel One hour
2451,negative, told call back Late Flightr
2452,positive, Ive received ticket Thank help
2453,positive,  great flights delays Thank you
2454,positive, thanks reaching me My Gold Div no kj My Flights changed Confirmation  DNXV
2455,negative, All correct rates Boston Pittsburgh wknd March  Rates sudden took off Made plans came back buy  surprised
2456,negative, actual worst You zero respect passengers Im officially done flying you
2457,negative, pilots timed out
2458,neutral, start xweekly  flights    APR 
2459,positive, thank do You guy awesome
2460,neutral, yet Waiting connected agent
2461,negative, cant believe United cant find someone simply check seat back missing passport Loved United debating choice
2462,positive,  thank you I like quick response Twitter
2463,neutral, I get update flight  DCA
2464,positive, And glad see going fix  please DM confirmation  check
2465,neutral, I already emailed I know expedient contact here Please advise Thanks
2466,negative, able get seat assign without paying   cust sec done
2467,negative, When deciding wreck vacation losing luggage Cancelled Flighted flight go to maneuver
2468,negative, Highlight travel  hour delay deicing twice Now sitting bumper bumper traffic taxi finally get home
2469,negative, cough 
2470,negative, worst airline ever travel with
2471,neutral, I get assistance flight  Plane landed HPN I connection ATL
2472,negative, never fly again went vacation week lost bags ways clothes thankyou
2473,negative, informed three hour delay Pick phone get another flight
2474,positive, AA time awesome flight Great job American
2475,negative, mention I sit airport  hours Youve ruined trip I happy want compensation
2476,negative, looks like lost another customer stranded  CLT vows never fly 
2477,negative, important I wait hold get hung computer 
2478,negative, cust serv reps unable change reservations system Check unaware Cancelled Flights I got word night
2479,negative,  meals also us company care  Truly disgraceful
2480,neutral, live Atlanta cant enroll Atlanta companion promotion Error every time Can help Also sent email Thanks
2481,negative, cover rental car refund ticket  Ill gladly drive  hrs home stuck till Tues
2482,neutral,s CEO Kelly draws record crowd Airport Business Partnership breakfast  
2483,negative, hi excited  LGAgtDAL deal ive trying  book since last week  page never loads thx
2484,negative, Thank you The website crashing me
2485,negative, trying book PAST need  arrive still selling seats day Im trying  travel
2486,negative, well    trying make   
2487,negative, playing hide seek gate We cant find it minutes
2488,negative, Conference begins  hours Up night due delays still waiting talk someone lost luggage
2489,negative, I call back  since department closed This biggest bunch bull
2490,positive, Great thanks Followed
2491,negative, cant control weather control customer service Without luggage  hours  still yet speak human
2492,negative, Brothers baggage lost route  Panamerican Cross Country Cup Chionship Columbia His race Sunday Please help
2493,negative, hold  hour  minutes cust service Can help
2494,negative, worse Cant figure pack plane screws connectns claims hotl rooms San Fran stranded pax Way go
2495,neutral, I credit expires month flight possible way I extended
2496,negative, yes I
2497,negative, please explain I plenty time since Im STRANDED
2498,negative, Cant book flight online phone Your customer service usually great  anything help
2499,negative, Ill give u chance I think Ill fall 
2500,negative, Cancelled Flightled flights last name Do right thing reinstate tickets
2501,neutral, Whats contact number corporate baggage office Phoenix
2502,negative, I look forward hearing back hope next trip like
2503,positive, Thats awesome library
2504,positive, nicest gate attendant Newark airport gate  right now Multiple delays still pleasant everyone
2505,neutral, yes Houston Intl Bush
2506,negative, Seat D Flight  last night worst seat Ive ever in No leg room  
2507,negative, never received  credit inoperable tvs SFO gt JFK flight  weeks ago never got email
2508,negative, It super frustrating folks United Ticket Counter Pittsburg honoring Media Rate 
2509,neutral, I I land
2510,negative, I  times one able help
2511,negative, kidding me No one answering calls reserv line due high call volume even option wait Brutal
2512,positive, nvm gate said theyre holding connections Thanks quick response
2513,negative, Today finest All could prevented one gate agent advising  passengers
2514,negative, UA delayed  plane frozen  Will I make connection UA  
2515,neutral, Our fleets fleek 
2516,negative, The pilot told us would release bags well offer hotel vouchers Neither happened
2517,neutral, get person
2518,negative, tried twice today hold  min time things cant live hold dealing w customer serv failures
2519,negative, I I UA  LAX TO DEN  scheduled land LAX    please rebook Denver  best flight
2520,negative, Would guys please send service agents gate B Philly All people missed connections theres 
2521,neutral, Well need something aim for
2522,negative, I glad I took care rescheduling UA  OGG Cancelled Flightled 
2523,neutral, forgot select ksml flight LA minutes  hour mark Is way change it
2524,negative,  different departure  arrival updates UA In hr Please
2525,negative,  It suggests cant confirm cert time Flight Booking Problems I assume may never clear Didnt used way
2526,negative, chose flight time sensitive arrival And drop ball What gives CLT  good way lose business
2527,negative, I need help In air  CLT PHL Conf DMQF Need confirmed  BNA  Been bumped day need home
2528,negative, Has AA Flight  San Antonio Dallas Cancelled Flighted
2529,negative, LAX service reps hand  number call So thats helpful
2530,negative, crew say safety If say I glad stay  Check information give costumers
2531,negative,  overweight pull  dozen passengers off Why luggage Seriously
2532,neutral, take account  cost  rent car  drive home
2533,neutral, yes please 
2534,neutral, got it Next time I know paying extra make A Line
2535,positive, I appreciate follow up
2536,neutral, I used points I get back I decide go
2537,negative, rebooked different airport Throwing wrench plans
2538,neutral, hate internet lol
2539,positive, Thatd nice Hoping rack enough miles take trip Seattle enjoy perfect latte city coffee
2540,neutral,Please dont RT  Our fleets fleek 
2541,negative, site let book tickets nov jfk kin
2542,negative, Yes Works Firefox Can everything finish purchase Button turns gray never submits For couple weeks now
2543,neutral, hahayeah did making joke
2544,negative, flight Cancelled Flighted delayed I expect full compensation park ticket hotel  flight
2545,positive, Awesome thanks Ill give call Late Flightr today Appreciate help
2546,negative, weather Its fact I cant get ahold anyone help BUT tweet back
2547,positive, I wish I could remember names
2548,negative, I need actual person customer relations refund What  I call I dispute charge credit card
2549,neutral, know schedule dec  released
2550,positive, thank much
2551,negative,   scheduled
2552,negative, yes thanks I never seen anything like I come Yuma time big disappointment There  still waiting
2553,neutral, status flight STLAUS
2554,positive, excellent reliable  
2555,negative, agents ones rude unhelpful prompted initial tweet This easy fix
2556,negative,  stuck two days airport something pretty normal I positive find plane Europe
2557,negative, I took care myself Had rent car drive  hours retrieve belongings Due united errors
2558,negative, I proof situation due company mistake
2559,negative, absolutely false stmt You comedy errors incl catering etc 
2560,positive, I love dancing little richard cool beans
2561,neutral, past
2562,negative, Another unfortunate case bad luck usually maintenance issue They swapping planes ONT get Late Flight 
2563,negative, No changes made My sons pass printed conf  Just mine print I expressed disapptment w JetBlue
2564,negative, Ph pat answers BS After I denied boarding sat gate  Your employees totally suck
2565,negative, hold  hours Cancelled Flighted flight I understand delay I understand autoreFlight Booking Problems TUESDAY HELP
2566,neutral, I know probably way get cheaper airfare ticket flight leaving hours
2567,negative, I continually getting put hold painfully inexperienced people calling Platinum desk
2568,positive, thank confirmation
2569,negative, stay business poor service   
2570,negative, travel booked thru United group dept Okc ticket agent less willing help connection LAX
2571,positive,  yep  theyve good Now make  flight mci wait tick
2572,negative, Why I stand baggage claim hour waiting bag knew never made plane
2573,negative, Ive hold hour now  I type this Ridiculous All I need link chart routes time
2574,neutral, Thank respondingMy laptop bag I need work I worried The file code UTEVGW
2575,negative, Hey AA There mistake made CR Flight Booking Problems When I call reservations  I keep getting hung on Advise
2576,negative, I would drive   hours jfk board JetBlue Vegas instead closer Hartford airport Cramming seats planeNO MORE
2577,positive, though I work another major airline I LOVE Black history month commercial I Thank you
2578,negative, I usually like flying guys  fee use credit seems ridiculous  
2579,positive, Thx GRAND view today FLT  SEATAC PHX      
2580,negative, luggage fees b flying JB again least  gives platinum pass  bags tired overchging bg herded like cattleslaughter
2581,neutral, Ive triedits  anyway
2582,positive, worked all Thanks immediate reply
2583,positive, getting sorted thanks
2584,neutral, Can tell days fly direct BUF  FLL FLL  BUF
2585,negative, hold  mins Cancelled Flight reservation Can assist
2586,neutral, fault policy says least got us destination Really
2587,negative, Actually flight Cancelled Flightled 
2588,negative, whats point So I wait another  weeks U r one airlines refuses handle complaints phone
2589,negative, I need complain AA email form field allow enough characters complaint Have real email address
2590,neutral, Q Just purchased ticket  trip Late FlightMarch Does mean acquire miles based price distance flown
2591,negative, HELP U said ud chnge retrn flght since missed connection Sat  ur pickng phoneOnly hve  hrs left
2592,negative, never got notification flight  Cancelled Flighted today Correct phone  email file Not happy customer
2593,negative, want helpful find us seat Dont quote terms conditions 
2594,negative, JFK T north check in  bag drop ladies  checking someone entire time another check ins too
2595,negative, flights via united I arrive DFW car parked IAH
2596,positive, offered complimentary drink switching seats Stewardess asked age  I said  We giggled  
2597,positive, Got call Bag delivered tonight Thanks reply
2598,negative, bags
2599,negative, claim number Havent back iAd baggage since Is phone I call speak someone
2600,positive, thank you
2601,negative, Trying reset password email never arrives Help
2602,negative, keeps saying mobile boarding passes unavailable despite checked everything
2603,negative, Bad enough seat assigned hes seating exit seat male flight attendant removes
2604,negative, site tripping Im trying check Im getting plain text version I reluctant enter card info
2605,neutral, think need follow DM
2606,negative, How I speak human Need  find bag delayed  Website   telling  different things Got hung x
2607,positive, Nicest people ever flight ChicagoThanks David Deane  Norma Sedholm making feel comfortable
2608,negative, alist pref good direct atl always wifiless Flight 
2609,neutral,Too Late Flight RT  Our fleets fleek 
2610,negative, Why iPhone app sort notifications option
2611,negative, Any hints get stay connected rearrange weather reLate Flightd Cancelled Flights Hours wnothing
2612,positive, Kudos ticket agents  making passengers check bags big fit overhead
2613,neutral, Eh happens I think Ill survive Thanks
2614,negative, Will breaking somehow make longer cut circulation legs 
2615,positive, Ill pass along advice You guys rock
2616,positive, thank thank thank contacting me Thank offer  travel certificate 
2617,negative,  segments  delayed Gnv gt CTL  CTL gt JAN  JAN gt CTL  CTL gt GNV My year flying guys way go
2618,positive, best airline hands down Amazing customer service bags free affordable flights 
2619,negative, awesome Doors close  minutes flight leaves  minutes And plane got here WTH
2620,negative, people going answer calls
2621,negative,   I would loved respond website I saw really long form In business new seats bad
2622,negative, airline I fly with seen anything like yet
2623,neutral, link site displays delays Cancelled Flightations flights 
2624,negative, mean policy destroyed luggage
2625,negative, Your survey long I fly lot segments Ill fill every trip takes minute
2626,negative, worst service ever
2627,negative,  people working counter  Massive lines Poorly played 
2628,negative, Hi Im trying checkin website working I tried  different browsers problem continues
2629,positive, ok thx
2630,neutral, st flight morning flying toddler Will plane heated comfortable temp boarding starts 
2631,negative, every time I fly jfk even speed work waiting  min 
2632,negative, time Who I call I need skis I go airport get them No faith United
2633,negative, customers dumb These revenue based programs hurt everyone Not gonna save money like think
2634,positive, keep going back forth able board not But great agents savannah
2635,negative, U say safety highest priority extend  property This totally nuts 
2636,negative, When email addressusername signon available Its while
2637,neutral,  Im Cust Svc line Your Charlotte NC agents better A game
2638,negative, flight two days ago Flight  POS
2639,negative,Why  allow conversations upset customers customer service 
2640,neutral, Is direct number call request refund Its telling valid I changed ticket No number site
2641,negative, mechanical delay occurred Houston earlier today re flight ORD
2642,negative, FINALLY called back BUT HASNT SPOKEN TO ME Like worst prank call EVER
2643,positive, well last update right direction least Ill keep fingers crossed
2644,neutral, please change direct flights RIC JFK instead LGA Pleeeeease LGA pits
2645,negative, could ran USExpressPSA worth damn I stuck horrible CLT now
2646,negative, killing sche flight board  min mine arrived gate side airport 
2647,negative, would air now Now new plane weve redirected mechanical errors aka delays 
2648,negative, AList Pref credit card holder called exclusive  hung hold  min What gives
2649,negative, car services hotel food hotel cost bc Cancelled Flightlations fall customer last minute notifications
2650,negative, My connecting flight DFW Cancelled Flightled need get IND tomorrow Any way I get sorted out Been holding h
2651,neutral, one use companion pass w points Flight Booking Problems cash fares Thx
2652,negative, said delayed due mechanical issues Im looking something little specific
2653,negative, When flight resume I dons see open schedule 
2654,negative, honestly  quickly possible Ive hold sine pm Everyone answers send someone else
2655,neutral, thats I hoping
2656,negative, waited  mins baggage MDWgtMEM inflight service suspended drink
2657,negative,  Any word accommodations passengers US  arrive Charlotte Lot tired passengers
2658,negative, I may need to I  minute layover  min delay first flight
2659,negative, pts expired I made prchase  online retailer b told SW show  wks L  keepmy pts
2660,negative, OFFERING give bag usually force passengers do I state shock
2661,negative, Need hold get call back Just get hung phone system  hours now
2662,negative, NOW love me After taking money taking halfway home Sorry Too Late Flight
2663,neutral, I question re ATL companion pass offer I know I need  revenue flight roundtrips Whats revenue flight thnx
2664,neutral,  keeping AA Air My crew chief cousin Alex Espinosa DFW 
2665,positive, HUGE thanks crew flight  flew DCA SJU Monday night snow could plane
2666,neutral, take care  please Thanks
2667,negative, Is way receive refund trip Cancelled Flight online instead calling Your phone lines super busy
2668,neutral, kudos rep Patricia gate B Sunday morning    
2669,negative, I asked Either way make flight less delayed
2670,neutral,sway  Our fleets fleek 
2671,neutral,  Please call 
2672,neutral, accurate Safety guide shown MP player usage takeoff landing 
2673,neutral, flight  JFK TPA am Saturday One way ticket
2674,positive, I fine They automatically changed connecting flight I miss it A work
2675,positive, Just bought tix ATX  Dallas route  thanks adding that Love yr airline  yr website BEST transactional site EVER
2676,negative, Been hold  hours I believe I overcharged  flight I need immediate explanation HELP
2677,neutral, follow I send info
2678,positive,s  email point  clever Thanks amazing   
2679,neutral, yea I saw Im moving China  bags pay whatever wanted make sure ok bring many
2680,negative, the I go all airlines lounge w Star Alliance Club Card BCN told Star Alliance accepted
2681,positive,  also  working WC coach Good thing bird landed ahead schedule I use WC stat
2682,negative, go blue go back
2683,negative, Not whats shared pilot passengers
2684,negative,    hr wait bags If taste worlds largest airline heaven help aviation
2685,negative,  No American This simple How YOU call HER back info new flight Basic customer service
2686,neutral, Australia Im Aussie cowgirl lookin cowboy Take Fort Worth Estelle says Ill find there
2687,negative, dropped luggage IAD  months ago repair damages heard anything since I get back
2688,negative,  know I love you JB honestly complex feedback pulldown suboption formsmaddening
2689,neutral, I check tomorrow morning flight wens I automatically add passbook
2690,neutral, How get TSA traveler ID added boarding pass Why would included TSA precheck Flying tomorro
2691,negative, My flight cost  happens I fly  problems I come US  times
2692,positive, got back eventually Was rollercoaster Once I got airport  got speak someone things got fixed quick
2693,neutral, afternoon flights going BQN JFK I seem find early morning flights
2694,neutral, help 
2695,negative,  son left tablet plane Am country call easily Is email contact
2696,negative, Hey SWAir tortured boarding flight  due one gate agent board assisted folks one time
2697,negative, u guys changed ages double booked seats I Ive even though I platinum person none
2698,positive, Yes  D Y From  Instagram 
2699,negative,  days   flight Cancelled Flightled another delay  hours united gave  food voucher Thats much value time
2700,negative, rant cont To top off rescheduled flight TPA  already delayed How bad
2701,neutral, sure did I carried bag numerous times style plane Planning accordingly apparently accounts nothing
2702,negative, probably least satisfactory airline Ive ever on Never fails disappoint
2703,negative, Yes flight rebooked Im losing trust I want get anywhere time
2704,negative, course I would like hepl Are kidding me Thats ONLY reason Ive hold past  hours
2705,neutral, know plane coming from Im SW flight  RSW MKE
2706,neutral, Yes Confirmation number all
2707,negative, I rebooked get notified Cancelled Flightled
2708,negative, yeah thats done Define incidentals How much I spend gear trip waste
2709,negative, I tried online tracking said something like attempting locate luggage
2710,positive, Finally taking off LASFLLSJU 
2711,negative, thanks making check bag space empty flight attendant dirty look 
2712,neutral, Our fleets fleek 
2713,negative,  listening flights taking house kicking Flight Booking Problems AM flight tomorrow Iceday
2714,negative, I report updated info  know reach without super long wait hold main number
2715,neutral,  CLT left gate What next CLT Need help
2716,neutral, Our fleets fleek 
2717,neutral, able see seats open another flight
2718,negative, takes money requires   days process refund Why auto attendant hang up 
2719,negative, said AA provide inflight wifi routes China based federal laws United does that
2720,neutral, did thank
2721,negative, gate announcement states delay due maintenance yet app says Late Flight arriving aircraft tell truth 
2722,negative, wonderful bag claim people  finally bag But I catch earlier flight Original flight landed 
2723,negative, Applied Status Match Feb  Got confirmation email day Still news though You guys dropped ball Late Flightly
2724,negative, I calling  days
2725,negative, I want know regarding connecting flights since st Cancelled Flightled Could assistance
2726,negative, When phone agents able give correct departure times CUN When checkin online international
2727,neutral, plan repair brand  via 
2728,positive, I thank you
2729,negative, question this whats crazy boarding procedure Does confusion prevent fistfights good seats
2730,negative,  minutes
2731,negative, apparently computers crashed BWI Any update flights moving
2732,negative, yea refund Your airline ruined trip
2733,neutral,  party  
2734,positive, thanks responding
2735,negative, Almost  hours coin now Understand higher call volume unacceptable
2736,negative, know meaning customer service Nightmare Paid direct flight Bumped Dallas Flight Cancelled Flighted Terrible
2737,positive, worries Youre best u can Already Cancelled Flighted biz trip Still LUV you RR 
2738,negative, Being old I miss connection sleep OAK get hotel dime rubs wrong way I wasnt Late Flight
2739,negative, hoping spare ac  tomorrow Have ship board The sched aircraft delayed previous flts
2740,negative,  THE WORST customer service   Calling month book flight  
2741,neutral, I get luv fallow
2742,negative, Im  Flight Booking Problems without major problems  bad
2743,positive, employees BWI amazing
2744,negative, love give shit people tried loyal screw every way till Sunday Glad Ive stayed away
2745,negative, As one travelers affected Boston storm Im shocked Virgins complete apathy toward customers
2746,negative, sadly get much help  As travel agent disappointing me
2747,negative, day disaster rude employees help  hotel flying  I fly ALOT Dallasraisenow
2748,negative, trying check flight On line working  agents busy take call
2749,negative, You bump Group  I forced check bag wait  minutes LGA
2750,negative, SPF record error causing email noreplycom go spam filters DNS admin needs fix
2751,negative, Not really I flight catch  pm Vegas Im praying I miss flight
2752,negative, sent email  customer service night happened ur response basically  bad sorry contact u
2753,neutral,s CEO  among ardent fans Wall Street  Poughkeepsie Journal 
2754,negative, I mean real live person somewhere I go speak Newark post security
2755,negative, Adding RR number  stay hard Wont take RR number checkinout Marriott phone CS helpful
2756,positive,  We hope see board soon thanks tweet EY
2757,negative,  im boat am flight Jacksonville Get here
2758,neutral, please reroute Oregon Womens Tennis Santa Barbara Theres supposedly another connection LA
2759,negative, like call me Iv trying since yesterday one answering
2760,negative,  How r u supposed change flights u cant get thru reservations 
2761,negative, Had explain eager flight attendant trying ask vision  guide dog
2762,negative, might worst airline ever
2763,neutral, scheduled depart scheduled
2764,negative, Is BWISJD service seasonal Wasnt part extension Called intl desk They know Want fly Sept Sat
2765,negative, I paid premium fly across country Cancelled Flight flight offer check fee upgrade love Sad face 
2766,neutral, Airways Adds New Charter  Cuba   Wires blog 
2767,negative, flight Cancelled Flightled I called said theyd call back  They And hung saying I wait  hrs
2768,positive, guys clever 
2769,negative, understand much often seems like quick request desk takes questions asked
2770,neutral, Lost black wallet I flight  CLEWould appreciate ur help Last I used  A
2771,negative, yall Cancelled Flightled flight rebooked st Cancelled Flightled help I need nyc schedule flights tomorrow
2772,neutral, Looking forward Power Inclusion event special guests We begin promptly  am 
2773,negative, connecting customer service rep Id rather speak person computer Thanks
2774,negative, Why let leave Newark
2775,negative, OMG ANSWER YOUR PHONE I HAVE BEEN ON HOLD FOR  hours Cancelled FlightED FLIGHTS SUCK
2776,negative, award winning service
2777,negative, going charge wifi us solid make sure take length flight open page
2778,negative,  hour flight FLL Ewr  waiting  hour plus bags sign yet What gives
2779,negative, Cancelled Flighting flight today weather Dallas without charged
2780,neutral, need someone help
2781,negative, United gold number Ive hold  minutes think I may lost nowhereland Have gold reservation Help
2782,negative, I trying change time flight I already purchased told I pay  change fee Ridiculous
2783,negative, nd Late Flight flight today
2784,neutral, I cant call right now My baby fell asleep
2785,positive, thank you
2786,negative, u bother following up booked   understands cust srv provided lunch  delays  upgraded seats
2787,positive, I love    able charge devices domestic  flights Thanks 
2788,negative, called back put hold Its midnight Literally want know Im getting home Im getting help
2789,positive, Scott best Thank yo bottom heartDestinationDragons friends LA  see u Friday
2790,negative, Yes I can But guys get act together
2791,neutral, wish flew Atlanta Soon
2792,negative, told go knowing issue was go find wont fix it
2793,negative, rd connecting flight delayed still cannot make  still unable speak real person
2794,positive, Theres many choices yall south border I know every airline equal  lowest price  best value 
2795,negative, hah best flight attendant response happy getting screwed over carriers hahahah pathetic
2796,negative, Ive hold  minutes waiting talk someone flight tomorrow Is another number call
2797,negative, Fuck you
2798,neutral, I understand pilot would get plane st class There  empty coach seats near me Im Premier K
2799,negative, flight Cancelled Flighted Im trying get  What  gonna do flighttravel
2800,neutral, start xweekly   flights  Reagan  JUNSEP 
2801,negative, please fix inventory system Plat upgraded bumped DOWN boarding FA said made mistake AA AC
2802,positive, awesome new plane flight 
2803,positive, great experience flight SFO JFK seats service food everything top quality I back Very soon
2804,negative, A years ago I lost  miles bc I physically unable fly period I submitted doctors note
2805,negative, worst
2806,negative, calling  different offices already still sign baggage First time American Air 
2807,negative, flight delayed  times today due flight officer  pit ord  hour delay date 
2808,neutral, daughters college game Denver Only one set parents
2809,negative, thats apology Say it
2810,neutral, AND WE GOT ZERO VOUCHERS FOR HOTEL OR CAB I expect SERIOUS mileage credits
2811,neutral, I understand that Im attempting change information identical tells call 
2812,negative, website says flight time It leaves  min nobody boarded yet  
2813,negative, delayed bag friend Lisa Pafe She got bag  days Costa Rica Issue updates system
2814,negative, I get free wifi since flight  Cancelled Flightled
2815,negative, I say  characters Plus follow
2816,positive, Waiting flight right now thanks
2817,negative, long take miles repurchased they expired show up I recieved email request been
2818,negative, thanks airline I ruined bag refuse anything it
2819,negative, I feel well informed yes flight indeed delayed Thank you 
2820,negative, long take get response customer service complaint done email
2821,positive, everythings good brothaaaaaa
2822,negative, flight Cancelled Flightled due weather What next 
2823,negative, flight  CHIBUF last night almost  hour delay cuz someone got plane without pass  sounds safe 
2824,neutral, quick question  bought wifi phone I buy tablet I  hours left trip
2825,negative, MiamiPhL flight Cancelled Flightled I got gate No one AA around one phone Awful awful awful
2826,neutral, I get companion pass
2827,negative, chance hell Id rather walk Worst airline ever
2828,positive, I hope 
2829,negative, delayed two hours ORDgtCDG one time I need catch train
2830,negative, attached original ticket flight number  experience I thought I would have Terrible 
2831,neutral, theres current Cancelled Flightlation Indianapolis girlfriend stranded Any ideas help provide
2832,negative,   Hours friend rebook trip Korea  Cancelled Flightled connecting flight Chicago  IDIOTIC
2833,negative, ask beatz I teach marketing university gladly consult customer service NOT treat passengers
2834,neutral, I would love great deal bwi las Memorial Day weekend aka bday weekend
2835,negative, Ive trying call cxl reservation tomorrow due needing surgery week  cannot get through
2836,negative, rather trying resolve customer issues options offered paying cash  airport write letter 
2837,neutral, Have pm flight PHL Sat  Snow expected Are able switch earlier flight without penalty
2838,negative, worry Ill sending letter I expect compensation I fly twice week wyou guysfor
2839,negative, OMG bumped last flight Can get worse
2840,neutral, thats ok It sure seemed like JetBlue tweeted us back asked us send selfies us watching Haha
2841,negative, well saying flight going Cancelled Flighted  changing earlier missed chance get tomorrow 
2842,negative, note traveling w yr old Unreal
2843,negative, seriously would pay  flight seats playing really bad thing flying VA
2844,negative, cool Your customer told care either It expected
2845,negative, yes last month Boston got first big snow storm flight Cancelled Flightled
2846,negative, You idea upset frustrated I right now Ill sure follow never flying again
2847,positive, thanks
2848,negative, unfortunately didnt I asked staff could help said ask ppl row switch one would
2849,negative, flight  delayed  hours deadhead crew Lets make  paying customers wait that great service 
2850,negative, Brothers luggage lost Copa Airlines Flight  Hes competing Sunday  Panamerican Cross Country Cup Please help
2851,negative, time I taking Amtrak home How call partial refunds
2852,neutral, I see two flights two seats morning get
2853,neutral, I thought planes retired 
2854,negative, flight BOS  RSW tomorrow need wife  yr old sit together option checking in
2855,neutral, I apply ur credit card automatically get companion certificate I wait it
2856,negative, yes tomorrow  am But I work though Im really mad situation
2857,neutral, fact  trending know Im loyal 
2858,neutral, Our fleets fleek  lmfaooooo hook flight
2859,negative, I comedian I promise I make fun stage tonight
2860,negative,  refused boarding Nexus nexus confirmed refused
2861,positive, thanks following up finally worked Fingers crossed new flight works
2862,negative, carriers flying way past SW Cancelled Flightlation   got passengers much Late Flightr
2863,neutral,s CEO battles appease passengers Wall Street  Waterbury Republican American 
2864,negative,  Please find bag In Singapore three days already without bag Last known destination LAX Tag  Please help
